"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"910","CRC","2","1","1.41521512326198E-15","interacts with","Clostridium_symbiosum (interacts with) Clostridiales_bacterium_1_7_47FAA","8.09002547596409E-18","0.437452545891196","false","interacts with","Clostridium_symbiosum (interacts with) Clostridiales_bacterium_1_7_47FAA","Clostridium_symbiosum_Clostridiales_bacterium_1_7_47FAA"
"909","CRC","2","1","6.21976950736844E-14","interacts with","Clostridium_symbiosum (interacts with) Clostridium_asparagiforme","4.62216102872274E-16","0.451885804763581","false","interacts with","Clostridium_symbiosum (interacts with) Clostridium_asparagiforme","Clostridium_symbiosum_Clostridium_asparagiforme"
"908","CRC","2","1","4.25497652269628E-23","interacts with","Clostridium_symbiosum (interacts with) Clostridium_bolteae","7.29702528663614E-26","0.518064156731562","false","interacts with","Clostridium_symbiosum (interacts with) Clostridium_bolteae","Clostridium_symbiosum_Clostridium_bolteae"
"907","CRC","2","1","4.62942918849117E-16","interacts with","Clostridium_symbiosum (interacts with) Clostridium_citroniae","2.2053302155541E-18","0.456432875227376","false","interacts with","Clostridium_symbiosum (interacts with) Clostridium_citroniae","Clostridium_symbiosum_Clostridium_citroniae"
"906","CRC","2","1","5.12107220250364E-18","interacts with","Clostridium_symbiosum (interacts with) Clostridium_hathewayi","2.04920953225184E-20","0.541341883918167","false","interacts with","Clostridium_symbiosum (interacts with) Clostridium_hathewayi","Clostridium_symbiosum_Clostridium_hathewayi"
"898","CRC","1","1","0.0212650593009488","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridiales_bacterium_1_7_47FAA","0.0135216278367504","0.233274445912865","false","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridiales_bacterium_1_7_47FAA","Erysipelotrichaceae_bacterium_2_2_44A_Clostridiales_bacterium_1_7_47FAA"
"897","CRC","1","1","0.00655839890336267","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_asparagiforme","0.00313173545194871","0.262313404815289","false","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_asparagiforme","Erysipelotrichaceae_bacterium_2_2_44A_Clostridium_asparagiforme"
"896","CRC","1","1","4.83604918497998E-8","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_bolteae","2.39590851390014E-9","0.343416647717122","false","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_bolteae","Erysipelotrichaceae_bacterium_2_2_44A_Clostridium_bolteae"
"895","CRC","1","1","2.50783868442705E-9","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_hathewayi","7.40691684615458E-11","0.359758911468632","false","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_hathewayi","Erysipelotrichaceae_bacterium_2_2_44A_Clostridium_hathewayi"
"893","CRC","1","1","4.40473333571655E-6","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_symbiosum","4.1881896618189E-7","0.308387610749603","false","interacts with","Erysipelotrichaceae_bacterium_2_2_44A (interacts with) Clostridium_symbiosum","Erysipelotrichaceae_bacterium_2_2_44A_Clostridium_symbiosum"
"780","CRC","2","1","1.42032524229295E-11","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Anaerotruncus_colihominis","2.05687344539376E-13","0.439940870408093","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Anaerotruncus_colihominis","Subdoligranulum_sp_4_3_54A2FAA_Anaerotruncus_colihominis"
"777","CRC","1","1","0.00169833790924307","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridiales_bacterium_1_7_47FAA","5.4917672103382E-4","0.323572648296723","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridiales_bacterium_1_7_47FAA","Subdoligranulum_sp_4_3_54A2FAA_Clostridiales_bacterium_1_7_47FAA"
"776","CRC","1","1","0.00168802619096633","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_asparagiforme","5.44555705279344E-4","0.30438717395406","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_asparagiforme","Subdoligranulum_sp_4_3_54A2FAA_Clostridium_asparagiforme"
"775","CRC","1","1","3.30224550379408E-5","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_bolteae","4.55019276594928E-6","0.295229630040061","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_bolteae","Subdoligranulum_sp_4_3_54A2FAA_Clostridium_bolteae"
"774","CRC","1","1","5.73925931570022E-5","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_citroniae","8.60670175582331E-6","0.329502346095728","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_citroniae","Subdoligranulum_sp_4_3_54A2FAA_Clostridium_citroniae"
"773","CRC","1","1","1.57204084244396E-8","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_hathewayi","6.35046986658003E-10","0.373534249898906","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_hathewayi","Subdoligranulum_sp_4_3_54A2FAA_Clostridium_hathewayi"
"772","CRC","1","1","2.74406937469043E-7","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_symbiosum","1.70776947793718E-8","0.343533830365179","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Clostridium_symbiosum","Subdoligranulum_sp_4_3_54A2FAA_Clostridium_symbiosum"
"771","CRC","1","1","5.99819546172413E-5","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Erysipelotrichaceae_bacterium_2_2_44A","9.15749723960856E-6","0.273430522730656","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Erysipelotrichaceae_bacterium_2_2_44A","Subdoligranulum_sp_4_3_54A2FAA_Erysipelotrichaceae_bacterium_2_2_44A"
"770","CRC","1","1","7.17857302465777E-11","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","1.20372413523225E-12","0.3892276406584","false","interacts with","Subdoligranulum_sp_4_3_54A2FAA (interacts with) Lachnospiraceae_bacterium_3_1_57FAA_CT1","Subdoligranulum_sp_4_3_54A2FAA_Lachnospiraceae_bacterium_3_1_57FAA_CT1"
"935","CRC","1","1","0.00215569255885399","interacts with","Clostridiales_bacterium_1_7_47FAA (interacts with) Anaerotruncus_colihominis","7.49645373458179E-4","0.253629705378532","false","interacts with","Clostridiales_bacterium_1_7_47FAA (interacts with) Anaerotruncus_colihominis","Clostridiales_bacterium_1_7_47FAA_Anaerotruncus_colihominis"
"934","CRC","1","1","1.02701375466671E-9","interacts with","Clostridium_asparagiforme (interacts with) Anaerotruncus_colihominis","2.66146857154484E-11","0.388601678862428","false","interacts with","Clostridium_asparagiforme (interacts with) Anaerotruncus_colihominis","Clostridium_asparagiforme_Anaerotruncus_colihominis"
"878","CRC","1","1","0.00238703877227344","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Anaerotruncus_colihominis","8.49465370495825E-4","0.319461630363353","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Anaerotruncus_colihominis","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Anaerotruncus_colihominis"
"876","CRC","1","1","0.00227602409324845","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridiales_bacterium_1_7_47FAA","8.02333188359306E-4","0.250862455066632","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridiales_bacterium_1_7_47FAA","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridiales_bacterium_1_7_47FAA"
"931","CRC","2","1","2.50145904266364E-8","interacts with","Clostridium_asparagiforme (interacts with) Clostridiales_bacterium_1_7_47FAA","1.12666694412074E-9","0.53129723258153","false","interacts with","Clostridium_asparagiforme (interacts with) Clostridiales_bacterium_1_7_47FAA","Clostridium_asparagiforme_Clostridiales_bacterium_1_7_47FAA"
"875","CRC","1","1","2.07293409681219E-5","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_asparagiforme","2.60591687272883E-6","0.314095250763081","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_asparagiforme","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridium_asparagiforme"
"874","CRC","1","1","4.2349245519412E-6","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_bolteae","3.98638096162148E-7","0.362692795553758","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_bolteae","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridium_bolteae"
"930","CRC","1","1","9.15752385200055E-8","interacts with","Clostridium_bolteae (interacts with) Anaerotruncus_colihominis","4.89800770470051E-9","0.369909291838427","false","interacts with","Clostridium_bolteae (interacts with) Anaerotruncus_colihominis","Clostridium_bolteae_Anaerotruncus_colihominis"
"873","CRC","1","1","5.06613023639333E-4","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_citroniae","1.19799306847639E-4","0.28754454596236","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_citroniae","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridium_citroniae"
"872","CRC","1","1","3.08084501095933E-9","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_hathewayi","9.5689355332769E-11","0.364551532633958","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_hathewayi","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridium_hathewayi"
"928","CRC","2","1","5.55580411573661E-9","interacts with","Clostridium_bolteae (interacts with) Clostridiales_bacterium_1_7_47FAA","1.8949865410001E-10","0.490589564563939","false","interacts with","Clostridium_bolteae (interacts with) Clostridiales_bacterium_1_7_47FAA","Clostridium_bolteae_Clostridiales_bacterium_1_7_47FAA"
"870","CRC","1","1","6.43309586823622E-6","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_symbiosum","6.4968384340038E-7","0.304706050820129","false","interacts with","Lachnospiraceae_bacterium_3_1_57FAA_CT1 (interacts with) Clostridium_symbiosum","Lachnospiraceae_bacterium_3_1_57FAA_CT1_Clostridium_symbiosum"
"927","CRC","3","1","1.08880512835817E-27","interacts with","Clostridium_bolteae (interacts with) Clostridium_asparagiforme","6.22411468192554E-31","0.60029094045368","false","interacts with","Clostridium_bolteae (interacts with) Clostridium_asparagiforme","Clostridium_bolteae_Clostridium_asparagiforme"
"926","CRC","2","1","5.50218370558385E-10","interacts with","Clostridium_citroniae (interacts with) Anaerotruncus_colihominis","1.3000586499474E-11","0.437649867854817","false","interacts with","Clostridium_citroniae (interacts with) Anaerotruncus_colihominis","Clostridium_citroniae_Anaerotruncus_colihominis"
