coef	P_value	SigLevel	Species	Type	Project
-0.344032757312991	1.02562051187416e-05	**	Anaerostipes_hadrus	CRC	PRJEB6070
-0.194343591066847	0.0147296031676194	*	Blautia_hydrogenotrophica	CRC	PRJEB6070
-0.220487137960685	0.00552266830373682	**	Clostridium_citroniae	CRC	PRJEB6070
-0.262634087446023	0.000890452447243284	**	Clostridium_leptum	CRC	PRJEB6070
-0.176724586638108	0.0268208918126986	*	Coprococcus_comes	CRC	PRJEB6070
-0.231917607297004	0.00347062611075133	**	Dorea_formicigenerans	CRC	PRJEB6070
-0.360014796545166	3.63597242802882e-06	**	Eubacterium_hallii	CRC	PRJEB6070
0.287299864182958	0.000263968200513887	**	Fusobacterium_nucleatum	CRC	PRJEB6070
0.250194536485233	0.00157609446683038	**	Gemella_morbillorum	CRC	PRJEB6070
-0.281531693342041	0.000354375368300186	**	Gemella_sanguinis	CRC	PRJEB6070
-0.230501706733693	0.00368061058377411	**	Gordonibacter_pamelaeae	CRC	PRJEB6070
-0.299431292599516	0.000139153088093424	**	Lachnospiraceae_bacterium_5_1_63FAA	CRC	PRJEB6070
-0.242020813452539	0.00225954524417205	**	Lactobacillus_ruminis	CRC	PRJEB6070
0.230559322549188	0.00367184749662841	**	Parvimonas_micra	CRC	PRJEB6070
0.259184445453332	0.00104612995729969	**	Peptostreptococcus_stomatis	CRC	PRJEB6070
0.281077217482766	0.000362598103278211	**	Porphyromonas_asaccharolytica	CRC	PRJEB6070
0.228662269490738	0.00397046740044971	**	Porphyromonas_somerae	CRC	PRJEB6070
0.167940113539781	0.0355161524619878	*	Porphyromonas_uenonis	CRC	PRJEB6070
-0.289530803699114	0.000235148283323827	**	Roseburia_intestinalis	CRC	PRJEB6070
-0.195568683086652	0.0141026776650801	*	Ruminococcus_obeum	CRC	PRJEB6070
-0.400006485254492	2.0987452575838e-07	**	Ruminococcus_sp_5_1_39BFAA	CRC	PRJEB6070
-0.241068628155314	0.00235458682828682	**	Ruminococcus_sp_JC304	CRC	PRJEB6070
-0.273454385552667	0.000529675448778022	**	Streptococcus_gordonii	CRC	PRJEB6070
-0.227715158026345	0.00412757855645829	**	Streptococcus_mutans	CRC	PRJEB6070
-0.205221431676133	0.00992670078127755	**	Streptococcus_salivarius	CRC	PRJEB6070
-0.290282976225164	0.000226110124304624	**	Streptococcus_sanguinis	CRC	PRJEB6070
-0.250856327405667	0.00153000312568441	**	Streptococcus_vestibularis	CRC	PRJEB6070
0.257776799128027	0.0209713304293242	*	Actinomyces_odontolyticus	CRC	PRJDB4176
0.290084411049867	0.00905050112411487	**	Atopobium_parvulum	CRC	PRJDB4176
-0.307845746787981	0.00547071443257341	**	Blautia_hydrogenotrophica	CRC	PRJDB4176
-0.234987032824958	0.0358887508973731	*	Coprobacter_fastidiosus	CRC	PRJDB4176
-0.221758015645603	0.0480488635572394	*	Megasphaera_elsdenii	CRC	PRJDB4176
0.242218533441613	0.0304093262055607	*	Parvimonas_unclassified	CRC	PRJDB4176
-0.330297158139927	0.00276945718189703	**	Streptococcus_thermophilus	CRC	PRJDB4176
0.211359906850419	0.0166235995127255	*	Clostridium_clostridioforme	CRC	PRJEB10878
0.199759844793206	0.0237784500513651	*	Clostridium_innocuum	CRC	PRJEB10878
0.222951091397248	0.0114198064967479	*	Clostridium_sp_ATCC_BAA_442	CRC	PRJEB10878
-0.230328140105188	0.00890792194517109	**	Collinsella_intestinalis	CRC	PRJEB10878
0.267374191822425	0.00228028993133744	**	Eggerthella_lenta	CRC	PRJEB10878
-0.227368300666555	0.00985027518748804	**	Eubacterium_eligens	CRC	PRJEB10878
0.381600504891619	8.81635890848109e-06	**	Fusobacterium_nucleatum	CRC	PRJEB10878
0.260058493765256	0.00303129286879922	**	Gemella_morbillorum	CRC	PRJEB10878
0.218282687983008	0.0133129521852768	*	Holdemania_sp_AP2	CRC	PRJEB10878
-0.23605945355281	0.00730675238144451	**	Holdemania_unclassified	CRC	PRJEB10878
0.240465433028117	0.0062549860825083	**	Lactobacillus_salivarius	CRC	PRJEB10878
-0.195945435175481	0.0266465490245769	*	Mitsuokella_unclassified	CRC	PRJEB10878
0.190336769265057	0.031397047470187	*	Parabacteroides_johnsonii	CRC	PRJEB10878
0.299211063487177	0.000601519048203603	**	Parvimonas_micra	CRC	PRJEB10878
0.333056241913353	0.000122331827792754	**	Parvimonas_unclassified	CRC	PRJEB10878
0.288946325978285	0.000940198313361673	**	Peptostreptococcus_anaerobius	CRC	PRJEB10878
